Product_ID,Product Name,Brand,Category,Subcategory,Pack Size,MRP ,Price ,SKU,Description,Image URL / Product Link
P000011,India Gate Select Basmati Rice,India Gate,Food & Grocery,Basmati Rice,1 kg,290,225,BAS-IG-SEL-1KG,"Aged premium basmati with slender grains, distinctive aroma and non-sticky texture.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5oknYPUAxDXebWh6NnrheZA4jv837snYAv6DpwxKn1AbqCA
P000012,India Gate Select Basmati Rice,India Gate,Food & Grocery,Basmati Rice,5 kg,"1,300",999,BAS-IG-SEL-5KG,"Premium aged basmati suitable for pulao, biryani and regional rice dishes.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5oknYPUAxDXebWh6NnrheZA4jv837snYAv6DpwxKn1AbqCA
P000013,India Gate Dubar Basmati Rice,India Gate,Food & Grocery,Basmati Rice,1 kg,195,150,BAS-IG-DUB-1KG,"Slender, aromatic aged basmati intended for everyday consumption.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSJqO_WJaVAKOd8qSdNfdy-JCgLI6F6sl_P0uE3yUvad9ZjDw
P000014,India Gate Dubar Basmati Rice,India Gate,Food & Grocery,Basmati Rice,5 kg,850,649,BAS-IG-DUB-5KG,"Aged basmati with slender grains and strong aroma, suitable for regular meals.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSJqO_WJaVAKOd8qSdNfdy-JCgLI6F6sl_P0uE3yUvad9ZjDw
P000015,Fortune Everyday Basmati Rice,Fortune,Food & Grocery,Basmati Rice,1 kg,125,99,BAS-FOR-EVR-1KG,Everyday basmati rice available in different grain sizes and suitable for regular recipes.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsNsO2TpeUQMwyxvCK_I_yHEF7_n88oFN2zCQ_vn3_D3XCZA
P000016,Daawat Traditional Basmati Rice,Daawat,Food & Grocery,Basmati Rice,1 kg,240,186,BAS-DAW-TRD-1KG,Traditional basmati rice with aromatic long grains suitable for biryani and pulao.,https://m.media-amazon.com/images/I/61vw7SH0uaL._SL1000_.jpg
P000017,Daawat Super Basmati Rice,Daawat,Food & Grocery,Basmati Rice,1 kg,210,165,BAS-DAW-SUP-1KG,Long-grain basmati rice suitable for aromatic rice dishes and everyday cooking.,https://m.media-amazon.com/images/I/61HcBkmH-UL._SX679_.jpg
P000018,Kohinoor Traditional Authentic Basmati Rice,Kohinoor,Food & Grocery,Basmati Rice,1 kg,250,199,BAS-KOH-TRA-1KG,Naturally aged traditional basmati with extra-long fine grains and aromatic flavour.,https://kohinoorindia.co.in/public/uploads/variants/1779956479-PV-THUMB-6a17faff2a8b2.png
P000019,Kohinoor Traditional Authentic Basmati Rice,Kohinoor,Food & Grocery,Basmati Rice,5 kg,"1,050",799,BAS-KOH-TRA-5KG,"Naturally aged basmati suitable for biryani, pulao and everyday rice dishes.",https://kohinoorindia.co.in/public/uploads/variants/1686297389-PV-THUMB.png
P000020,Kohinoor Brown Basmati Rice,Kohinoor,Food & Grocery,Basmati Rice,1 kg,240,190,BAS-KOH-BRN-1KG,"Whole-grain brown basmati retaining its bran layer and germ, with a nutty flavour and aromatic character.",https://kohinoorindia.co.in/public/uploads/variants/1740401404-PV-THUMB.png
P000021,Daawat Rozana Gold Basmati Rice,Daawat,Food & Grocery,Basmati Rice,1 kg,145,115,BAS-DAW-RZG-1KG,"Naturally aged basmati rice with aromatic grains, designed for everyday cooking.",https://cdn.daawat.com/sites/default/files/product-banners/Rozana-Range-All_0.png
P000022,Daawat Rozana Gold Basmati Rice,Daawat,Food & Grocery,Basmati Rice,5 kg,625,499,BAS-DAW-RZG-5KG,Affordable everyday basmati with pleasant aroma and consistent cooking quality.,https://cdn.daawat.com/sites/default/files/product-banners/Rozana-Range-All_0.png
P000023,Daawat Rozana Gold Basmati Rice,Daawat,Food & Grocery,Basmati Rice,10 kg,"1,200",949,BAS-DAW-RZG-10KG,"Naturally aged basmati suitable for rice meals, pulao and everyday dishes.",https://cdn.daawat.com/sites/default/files/product-banners/Rozana-Range-All_0.png
P000024,Daawat Rozana Super Basmati Rice,Daawat,Food & Grocery,Basmati Rice,1 kg,160,125,BAS-DAW-RZS-1KG,Smooth basmati grains with a sweet taste and rich aroma for daily meals.,https://cdn.daawat.com/sites/all/themes/ltfoods/images/daawat-rozana-basmati-rice-super.png
P000025,Daawat Rozana Super Basmati Rice,Daawat,Food & Grocery,Basmati Rice,5 kg,700,549,BAS-DAW-RZS-5KG,Everyday basmati designed for regular Indian rice dishes.,https://cdn.daawat.com/sites/all/themes/ltfoods/images/daawat-rozana-basmati-rice-super.png
P000026,Daawat Dubar Basmati Rice,Daawat,Food & Grocery,Basmati Rice,1 kg,165,130,BAS-DAW-DUB-1KG,Affordable original basmati with pleasant aroma and shorter grain profile.,https://cdn.daawat.com/sites/all/themes/ltfoods/images/Dubar-Pack-Shot-Inside.png
P000027,Daawat Dubar Basmati Rice,Daawat,Food & Grocery,Basmati Rice,5 kg,750,599,BAS-DAW-DUB-5KG,Economical basmati for everyday meals and rice-based recipes.,https://cdn.daawat.com/sites/all/themes/ltfoods/images/Dubar-Pack-Shot-Inside.png
P000028,Daawat Traditional Basmati Rice,Daawat,Food & Grocery,Basmati Rice,1 kg,235,185,BAS-DAW-TRD-1KG,Naturally aged traditional basmati with aromatic grains for premium meals.,https://cdn.daawat.com/sites/all/themes/ltfoods/images/Traditional-Pack-Shot-Inside.png
P000029,Daawat Traditional Basmati Rice,Daawat,Food & Grocery,Basmati Rice,5 kg,"1,100",849,BAS-DAW-TRD-5KG,"Premium traditional basmati suitable for plain rice, pulao and biryani.",https://cdn.daawat.com/sites/all/themes/ltfoods/images/Traditional-Pack-Shot-Inside.png
P000030,Daawat Biryani Basmati Rice,Daawat,Food & Grocery,Basmati Rice,1 kg,280,220,BAS-DAW-BRY-1KG,"Long-grain basmati specifically suited for biryani, with grains that elongate during cooking.",https://cdn.daawat.com/sites/all/themes/ltfoods/images/Biryani-Pack-Shot-Inside.png
P000031,Daawat Biryani Basmati Rice,Daawat,Food & Grocery,Basmati Rice,5 kg,"1,250",999,BAS-DAW-BRY-5KG,Premium long-grain basmati designed for biryani and festive preparations.,https://cdn.daawat.com/sites/all/themes/ltfoods/images/Biryani-Pack-Shot-Inside.png
P000032,Aeroplane Classic Basmati Rice,Aeroplane,Food & Grocery,Basmati Rice,1 kg,230,180,BAS-AER-CLS-1KG,Premium basmati rice with aromatic grains suitable for everyday and special meals.,https://www.aeroplanerice.com/wp-content/uploads/2022/11/classic-2-600x800.png
P000033,Aeroplane Classic Basmati Rice,Aeroplane,Food & Grocery,Basmati Rice,5 kg,"1,000",799,BAS-AER-CLS-5KG,Premium basmati available in a convenient family-size pack.,https://www.aeroplanerice.com/wp-content/uploads/2022/11/classic-2-600x800.png
P000034,Aeroplane Classic Basmati Rice,Aeroplane,Food & Grocery,Basmati Rice,10 kg,"1,850","1,499",BAS-AER-CLS-10KG,"Family-size premium basmati rice with aromatic, separate grains.",https://www.aeroplanerice.com/wp-content/uploads/2022/11/classic-2-600x800.png
P000035,Kohinoor Traditional Authentic Basmati Rice,Kohinoor,Food & Grocery,Basmati Rice,1 kg,250,199,BAS-KOH-TRA-1KG,"Naturally aged authentic basmati with extra-long, fine grains and warm aroma.",https://kohinoorindia.co.in/public/uploads/variants/1779956479-PV-THUMB-6a17faff2a8b2.png
P000036,Kohinoor Traditional Authentic Basmati Rice,Kohinoor,Food & Grocery,Basmati Rice,5 kg,"1,100",899,BAS-KOH-TRA-5KG,"Naturally aged basmati designed for biryani, pulao and steamed rice.",https://kohinoorindia.co.in/public/uploads/variants/1686297389-PV-THUMB.png
P000037,Kohinoor Super Value Authentic Basmati Rice,Kohinoor,Food & Grocery,Basmati Rice,1 kg,225,175,BAS-KOH-SVA-1KG,"Authentic basmati with long fluffy grains and natural aroma, offered as a value pack.",https://kohinoorindia.co.in/public/uploads/variants/1779958238-PV-THUMB-6a1801de43c15.png
P000038,Kohinoor Super Value Authentic Basmati Rice,Kohinoor,Food & Grocery,Basmati Rice,5 kg,900,699,BAS-KOH-SVA-5KG,"Value-oriented authentic basmati with long, fluffy and separate grains.",https://kohinoorindia.co.in/public/uploads/variants/1686297549-PV-THUMB.png
P000039,Lal Qilla Classic Basmati Rice,Lal Qilla,Food & Grocery,Basmati Rice,1 kg,190,150,BAS-LQ-CLS-1KG,"Classic basmati rice with aromatic grains suitable for biryani, pulao and daily meals.",https://lalqilla-rice.com/wp-content/uploads/2023/07/healthy-rice-brand.webp
P000040,Lal Qilla Premium Basmati Rice,Lal Qilla,Food & Grocery,Basmati Rice,5 kg,900,699,BAS-LQ-PRM-5KG,Premium basmati rice with long grains and characteristic aroma.,https://lalqilla-rice.com/wp-content/uploads/2023/07/healthy-rice-brand.webp
P000041,Tilda Premium Basmati Rice,Tilda,Food & Grocery,Basmati Rice,1 kg,280,220,BAS-TIL-PRM-1KG,Premium basmati rice with aromatic long grains suitable for Indian rice dishes.,https://cdn.shortpixel.ai/spai/q_+w_428+to_webp+ret_img/www.tilda.com/en-in/wp-content/uploads/sites/21/2022/01/10090210/Tilda-Premium-Basmati-1KG_1500-x-1500-pixel-Front-e1659365932478.png
P000042,Organic Tattva Organic Basmati Rice,Organic Tattva,Food & Grocery,Basmati Rice,1 kg,240,190,BAS-ORG-BAS-1KG,Organic basmati rice suitable for consumers seeking organic pantry staples.,https://organictattva.com/cdn/shop/files/Product_Decription.jpg?v=1776765187&width=750
P000043,Sonamasuri Rice White,Organic Tattva,Food & Grocery,Sona Masoori Rice,1 kg,130,109,SON-ORG-001,Organic medium-grain white Sona Masoori rice for everyday cooking.,https://organictattva.com/cdn/shop/files/Lifestyle_e91b61dc-9d5c-4414-bb36-3d0e9cc0f70a.jpg?v=1776683445&width=750
P000044,Organic Sonamasuri White Rice,Organic Tattva,Food & Grocery,Sona Masoori Rice,5 kg,750,650,SON-ORG-005,Organic white Sonamasuri with light aroma and fluffy texture.,https://organictattva.com/cdn/shop/files/Lifestyle_e91b61dc-9d5c-4414-bb36-3d0e9cc0f70a.jpg?v=1776683445&width=750
P000045,Sona Masoori Rice,Daawat,Food & Grocery,Sona Masoori Rice,1 kg,95,80,SON-DAW-001,Medium-grain Sona Masoori rice suitable for daily meals.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/97a931d0-a1e5-4067-929f-89084512226f/Daawat-Sona-Masuri-Rice-Medium-Grain.jpeg"
P000046,Daawat Premium Sona Masoori Rice,Daawat,Food & Grocery,Sona Masoori Rice,5 kg,470,356,SON-DAW-005,"Premium medium-grain rice for steamed rice, pulao and daily meals.","https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/97a931d0-a1e5-4067-929f-89084512226f/Daawat-Sona-Masuri-Rice-Medium-Grain.jpeg"
P000047,Daawat Sona Masoori Rice,Daawat,Food & Grocery,Sona Masoori Rice,10 kg,900,700,SON-DAW-010,Medium-grain Sona Masoori in a family-size pack.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/c6637d37-6eb1-4d6f-925a-60eb24a6e143/Daawat-Sona-Masuri-Rice-Medium-Grain.jpeg"
P000048,Sona Masoori Regular Rice,Fortune,Food & Grocery,Sona Masoori Rice,5 kg,450,349,SON-FOR-005,Everyday Sona Masoori rice with medium grains.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-4585-4585,pr-true,f-auto,q-40,dpr-2/cms/product_variant/5e70d762-9019-4380-b4d8-91449063900b/Fortune-Sona-Masoori-Regular.jpg"
P000049,Sona Masoori Supreme Raw Aged Rice,Fortune,Food & Grocery,Sona Masoori Rice,5 kg,550,369,SON-FOR-AGE-005,Aged raw Sona Masoori rice designed for everyday cooking.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1001-1001,pr-true,f-auto,q-40,dpr-2/cms/product_variant/7d80c647-1cfe-48f7-8630-9bb21e00865a/Fortune-Sona-Masoori-Supreme-Raw-Aged-Rice.jpg"
P000050,Sona Masoori Regular Rice,Fortune,Food & Grocery,Sona Masoori Rice,5 kg,450,376.32,SON-FOR-BB-005,Regular Sona Masoori rice suitable for steamed rice and curries.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-4585-4585,pr-true,f-auto,q-40,dpr-2/cms/product_variant/5e70d762-9019-4380-b4d8-91449063900b/Fortune-Sona-Masoori-Regular.jpg"
P000051,Sona Masoori Rice,India Gate,Food & Grocery,Sona Masoori Rice,10 kg,880,627,SON-IG-010,Medium-grain aromatic rice cultivated in South India's Deccan region.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1500-1500,pr-true,f-auto,q-40,dpr-2/cms/product_variant/ba5aeffc-7053-453f-adb3-02c79acf2408/India-Gate-Sona-Masoori-Rice.jpg"
P000052,Sona Masoori Rice,India Gate,Food & Grocery,Sona Masoori Rice,5 kg,1000,950,SON-IG-005,Medium-grain Sona Masoori rice for regular South Indian meals.,https://www.indiagatefoods.com/wp-content/uploads/2025/05/sona-masoori-rice-5k-front.png
P000053,Sona Masoori Rice,India Gate,Food & Grocery,Sona Masoori Rice,30 kg,2100,"1,950",SON-IG-030,Bulk Sona Masoori pack for large households and food service.,https://www.indiagatefoods.com/wp-content/uploads/2025/05/sona-masoori-rice-30k-front.png
P000054,Organic Sona Masoori Rice,24 Mantra Organic,Food & Grocery,Sona Masoori Rice,5 kg,599,413,SON-24M-005,Organic Sona Masoori rice for everyday healthy meals.,https://24mantraorganic.com/cdn/shop/files/24mantra-new-1-kg-organic-sonamasuri-white-rice-45396184301876.jpg?crop=center&height=640&v=1748952495&width=640
P000055,Organic Sona Masuri Brown Rice,24 Mantra Organic,Food & Grocery,Sona Masoori Rice,5 kg,599,465,SON-24M-BR-005,Brown Sona Masoori rice with a naturally darker grain.,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTObHGZTmo-dDTAdgnHmFAKewFHU6LXmdUFZsA4-WxrWZ2NI7ZW9R8A-PQCyrkm1f9WdFt6FklmJSFtClm-FyfdgQWOPZRSv3CqC9DRdyv-_oz9AszQdshh
P000056,Sona Masoori Steam Rice,Popular Essentials,Food & Grocery,Sona Masoori Rice,5 kg,510,438,SON-POP-ST-005,Steam-processed Sona Masoori rice for daily cooking.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/b548b65a-1c55-427a-b810-87941bcfe492/Popular-Essentials-Sona-Masoori-Steam-Rice.jpeg"
P000057,Classic Sona Masuri Rice,Popular Essentials,Food & Grocery,Sona Masoori Rice,5 kg,600,522,SON-POP-CLS-005,Classic Sona Masuri rice for everyday family meals.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-2400-2400,pr-true,f-auto,q-40,dpr-2/cms/product_variant/28b435b5-f999-4b66-86c1-225443acbf2f/Popular-Essentials-Classic-Sona-Masuri-Rice.jpeg"
P000058,Rozana Sona Masuri Raw Rice,Popular Essentials,Food & Grocery,Sona Masoori Rice,5 kg,550,446,SON-POP-ROZ-005,Raw Sona Masuri rice intended for regular daily consumption.,https://www.bbassets.com/media/uploads/p/l/40324013_1-popular-essentials-rozana-sona-masoori-rice-raw.jpg
P000059,Super Sona Masuri Raw Rice,Popular Essentials,Food & Grocery,Sona Masoori Rice,5 kg,575,450,SON-POP-SUP-005,Raw medium-grain Sona Masuri rice.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/2e1100df-0884-4231-815a-02fede7e6304/Popular-Essentials-Super-Sona-Masuri-Raw-Rice.jpeg"
P000060,Sona Masouri Brown Rice,Popular Essentials,Food & Grocery,Sona Masoori Rice,1 kg,125,92,SON-POP-BR-001,Brown Sona Masuri rice for a whole-grain alternative.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1080-1080,pr-true,f-auto,q-40,dpr-2/cms/product_variant/1939c7c0-5e15-4a07-ab9f-48bca9524822/Popular-Essentials-Sona-Masouri-Brown-Rice.jpeg"
P000061,Sona Masoori Raw Rice,Daily Good,Food & Grocery,Sona Masoori Rice,1 kg,110,90,SON-DG-RAW-005,Family-size raw Sona Masoori rice pack.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/bf4f32ed-f962-498e-80ff-948405d833af/Daily-Good-Sona-Masoori-Raw-Rice.jpeg"
P000062,Sona Masoori Steam Rice,Daily Good,Food & Grocery,Sona Masoori Rice,5 kg,500,350,SON-DG-ST-005,Steam rice variant for fluffy cooked rice.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/1065c250-875c-4f93-8070-51148062abb0/Daily-Good-Sona-Masoori-Steam-Rice.jpeg"
P000063,Sona Masoori Boiled Rice,Daily Good,Food & Grocery,Sona Masoori Rice,5 kg,500,328,SON-DG-BL-005,Boiled Sona Masoori rice suitable for regular meals.,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQWsLgZ7UzrEiGD3uhAcTPwIBxtqZPwUY7elDHTeivRHv7VPwaMCKbTfiAg9j5HlGuYUq8rG356uwengxsywtunwp554_-zeW9pHae2kmeDcyaulSagm21_DUI
P000064,Sona Masoori Steam Rice – Bullet Rice,Daily Good,Food & Grocery,Sona Masoori Rice,26 kg,2600,1571,SON-DG-BUL-026,Large bulk pack of steam-processed Sona Masoori bullet rice.,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQC3QFot6XpYxtQcxROlQu0Pk6yV5pSseCP_PZHZCpjjzcUBZlyoBHNMqp1kazCz7lr1h8W2iSAs54vtRjO5xDcT-GmjpIgYQ
P000065,Premium Sona Masoori Rice Raw,Shree Akshara,Food & Grocery,Sona Masoori Rice,5 kg,445,334,SON-SA-RAW-005,Premium raw Sona Masoori rice with medium grains.,https://m.media-amazon.com/images/I/41s4HHnJ-9L._SY300_SX300_QL70_FMwebp_.jpg
P000066,Premium Sona Masoori Rice Steam,Shree Akshara,Food & Grocery,Sona Masoori Rice,5 kg,390,287,SON-SA-ST-005,Steam-processed premium Sona Masoori rice.,https://m.media-amazon.com/images/I/41wMFCAppWL._SY300_SX300_QL70_FMwebp_.jpg
P000067,Premium Sona Masoori Rice Raw,Shree Akshara,Food & Grocery,Sona Masoori Rice,10 kg,850,625,SON-SA-RAW-010,Large raw Sona Masoori pack for family use.,https://m.media-amazon.com/images/I/61z8YxMPr+L._SX522_.jpg
P000068,Premium Steam Sona Masoori Rice Polished,Shree Akshara,Food & Grocery,Sona Masoori Rice,10 kg,750,597,SON-SA-POL-ST-010,Polished steam Sona Masoori rice in a 10 kg pack.,https://m.media-amazon.com/images/I/41m4umz0phL._SY300_SX300_QL70_FMwebp_.jpg
P000069,Sona Masoori Raw Rice,Shree Akshara,Food & Grocery,Sona Masoori Rice,26 kg,2100,1500,SON-SA-RAW-026,Bulk raw Sona Masoori rice for high-volume consumption.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-2400-2400,pr-true,f-auto,q-40,dpr-2/cms/product_variant/7b5cb018-8a84-401d-ab54-d5f3ccd474a8/Shree-Akshara-Sona-Masoori-Raw-Rice.jpeg"
P000070,Sona Masoori Steam Rice,Shree Akshara,Food & Grocery,Sona Masoori Rice,26 kg,1890,1405,SON-SA-ST-026,Bulk steam Sona Masoori rice pack.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-2400-2400,pr-true,f-auto,q-40,dpr-2/cms/product_variant/d358c276-32a3-40d4-aa43-8337490736c1/Shree-Akshara-Sona-Masoori-Steam-Rice.jpeg"
P000071,Sona Masoori Rice Boiled,Shree Akshara,Food & Grocery,Sona Masoori Rice,5 kg,340,275,SON-SA-BL-005,Boiled Sona Masoori with medium grains and aromatic character.,https://m.media-amazon.com/images/I/61HXlCrglUL._SX522_.jpg
P000072,Sona Masoori Raw Rice,Parry's,Food & Grocery,Sona Masoori Rice,5 kg,480,438,SON-PAR-RAW-005,Raw Sona Masoori rice for daily South Indian cooking.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/cbe214fa-f6e5-4fdf-937b-b3d61970a6f6/Parry-s-Sona-Masoori-Raw-Rice.jpeg"
P000073,Sona Masoori Raw Rice,Parry's,Food & Grocery,Sona Masoori Rice,10 kg,960,757,SON-PAR-RAW-010,Family-size raw Sona Masoori rice pack.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/cbe214fa-f6e5-4fdf-937b-b3d61970a6f6/Parry-s-Sona-Masoori-Raw-Rice.jpeg"
P000074,Sona Masoori Raw Rice,Safe Harvest,Food & Grocery,Sona Masoori Rice,5 kg,620,537,SON-SH-RAW-005,"Pesticide-free Sona Masoori raw rice, aged for 12 months.","https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1500-1500,pr-true,f-auto,q-40,dpr-2/cms/product_variant/4d8ce034-1ee1-48ce-b6b7-337a902a99e5/Safe-Harvest-Sona-Masoori-Raw-Rice-12-Months-Lab-Tested-Pesticide-Free.png"
P000075,Pesticide-Free Sona Masuri Rice,Safe Harvest,Food & Grocery,Sona Masoori Rice,5 kg,620,425,SON-SH-PF-005,"Unpolished, pesticide-free Sona Masuri rice.",https://m.media-amazon.com/images/I/61XZwSwtIBL._SX569_.jpg
P000076,Premium Sona Masoori Rice Raw,Prime Tunga,Food & Grocery,Sona Masoori Rice,5 kg,415,342,SON-PT-RAW-005,Premium raw Sona Masoori rice for regular cooking.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/fb0fd034-0d5a-4672-8704-d91f5e44fd8d/Prime-Tunga-Premium-Sona-Masoori-Rice-Raw.jpeg"
P000077,Premium Sona Masoori Rice Raw,Prime Tunga,Food & Grocery,Sona Masoori Rice,10 kg,815,815,SON-PT-RAW-010,Large premium raw Sona Masoori rice pack.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/1ba54fe7-11aa-4ff4-9f96-df323a2eb854/Prime-Tunga-Premium-Sona-Masoori-Rice-Raw.jpg"
P000078,Sona Masoori Rice,Patanjali,Food & Grocery,Sona Masoori Rice,5 kg,575,460,SON-PAT-005,Premium fragrant medium-grain Sona Masoori rice.,https://www.patanjaliayurved.net/assets/product_images/400x500/1777618769smr1.webp
P000079,Sona Masuri Steamed Rice,Royal Bullet,Food & Grocery,Sona Masoori Rice,26 kg,2800,1616,SON-RB-ST-026,Large steamed Sona Masuri rice pack for bulk use.,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-375-666,pr-true,f-auto,q-40,dpr-2/cms/product_variant/560d275f-2ddd-4f73-a271-8a1b0c93efec/Royal-Bullet-Sona-Masuri-Steamed-Rice.jpg"
P000080,BB Royal Organic Brown Rice,BB Royal Organic,Food & Grocery,Brown Rice,1 kg,109,99,BR-BBR-001,Organic whole-grain brown rice with natural bran and a mild nutty flavour.,https://www.bbassets.com/media/uploads/p/l/40072466_16-bb-royal-organic-brown-rice.jpg
P000081,BB Royal Organic Brown Rice,BB Royal Organic,Food & Grocery,Brown Rice,2 kg,200,190,BR-BBR-002,Organic brown rice suitable for everyday healthy meals.,https://www.bbassets.com/media/uploads/p/l/40091133_14-bb-royal-organic-brown-rice.jpg
P000082,BB Royal Organic Brown Rice,BB Royal Organic,Food & Grocery,Brown Rice,5 kg,534,491.42,BR-BBR-003,Organic brown rice with whole-grain goodness and natural fibre.,https://www.bbassets.com/media/uploads/p/l/40072467_15-bb-royal-organic-brown-rice.jpg
P000083,BB Royal Organic Brown Rice,BB Royal Organic,Food & Grocery,Brown Rice,10 kg,899,898,BR-BBR-004,Family-size organic brown rice pack for regular consumption.,https://www.bbassets.com/media/uploads/p/l/40127666_13-bb-royal-organic-brown-rice.jpg
P000084,Daawat Quick Cooking Brown Basmati Rice,Daawat,Food & Grocery,Brown Basmati Rice,1 kg,177,172.02,BR-DAW-001,Quick-cooking brown basmati rice with whole-grain goodness.,https://www.bbassets.com/media/uploads/p/l/100482055_10-daawat-basmati-rice-brown-quick-cooking.jpg
